,loss,mae,mse,mape,val_loss,val_mae,val_mse,val_mape,lr
0,0.04121242091059685,0.17396388947963715,0.05290057510137558,120.0519027709961,0.18581880629062653,0.37402576208114624,0.261745423078537,214.27513122558594,0.001
1,0.045768097043037415,0.18444928526878357,0.05911468341946602,127.3295669555664,0.17079252004623413,0.347072035074234,0.2235415279865265,181.6903839111328,0.001
2,0.04468543082475662,0.18183402717113495,0.05757107213139534,122.35370635986328,0.16163451969623566,0.34460175037384033,0.2112235426902771,189.15704345703125,0.001
3,0.04092424735426903,0.17484909296035767,0.052959028631448746,115.42837524414062,0.15951944887638092,0.33149653673171997,0.20164749026298523,210.2015838623047,0.001
4,0.04127803444862366,0.17634820938110352,0.0532558299601078,124.21154022216797,0.17149905860424042,0.35816460847854614,0.22749446332454681,190.1295166015625,0.001
5,0.04001963511109352,0.1737799495458603,0.05172912776470184,114.50434875488281,0.16617630422115326,0.34134915471076965,0.2111741155385971,193.14837646484375,0.001
6,0.03993150591850281,0.17317268252372742,0.05164317414164543,113.70401763916016,0.17202085256576538,0.3476085960865021,0.21941649913787842,185.7742919921875,0.001
7,0.03952707350254059,0.17355060577392578,0.05114695057272911,114.61117553710938,0.162876695394516,0.3305036723613739,0.2000192552804947,192.49415588378906,0.001
8,0.03800622746348381,0.16956043243408203,0.04905369132757187,118.62870788574219,0.16988864541053772,0.3388471305370331,0.20503868162631989,207.62493896484375,0.001
9,0.03641336038708687,0.16665689647197723,0.04710904136300087,115.59626770019531,0.19323337078094482,0.3776131272315979,0.25303521752357483,225.52459716796875,0.001
10,0.034639276564121246,0.16221068799495697,0.044854164123535156,109.93970489501953,0.168950155377388,0.352203905582428,0.2205764502286911,215.8854217529297,0.001
11,0.03578726202249527,0.16546182334423065,0.0463901087641716,115.26217651367188,0.17340995371341705,0.34888920187950134,0.21924974024295807,201.3567657470703,0.001
12,0.03751107677817345,0.1673046499490738,0.04860018566250801,115.32154083251953,0.1944502592086792,0.3808523416519165,0.25514528155326843,216.45578002929688,0.001
13,0.03828626871109009,0.17049053311347961,0.049735989421606064,113.44343566894531,0.1950097233057022,0.3606460988521576,0.22908258438110352,253.2961883544922,0.001
14,0.03376336395740509,0.16035506129264832,0.04371436685323715,109.25017547607422,0.17093898355960846,0.355035662651062,0.22239135205745697,190.09632873535156,0.001
15,0.03374867141246796,0.1603345423936844,0.043673593550920486,108.83373260498047,0.1747661828994751,0.35341569781303406,0.22145137190818787,209.47091674804688,0.001
16,0.03539049252867699,0.1639983057975769,0.045953258872032166,112.99244689941406,0.1912527233362198,0.3554166555404663,0.22445400059223175,230.08306884765625,0.001
17,0.03305156156420708,0.15988226234912872,0.042811982333660126,106.65760803222656,0.1827261745929718,0.35914111137390137,0.22635488212108612,211.57760620117188,0.001
18,0.03410410135984421,0.1618545800447464,0.04432430863380432,112.65019989013672,0.1687718778848648,0.3331964612007141,0.19837525486946106,193.07078552246094,0.00020000001
19,0.02962290495634079,0.15085086226463318,0.038479290902614594,102.58091735839844,0.16512785851955414,0.3289414942264557,0.19522996246814728,196.82879638671875,0.00020000001
20,0.02650853432714939,0.14314432442188263,0.03446846827864647,99.0068588256836,0.1687609702348709,0.3326569199562073,0.1996079981327057,196.8534698486328,0.00020000001
21,0.024907663464546204,0.13875547051429749,0.03238866105675697,97.17709350585938,0.16697482764720917,0.33102405071258545,0.1985263079404831,199.5880889892578,0.00020000001
22,0.023706084117293358,0.13532404601573944,0.030805209651589394,94.12833404541016,0.17298255860805511,0.333815336227417,0.20280680060386658,203.36647033691406,0.00020000001
23,0.02271462418138981,0.1324959099292755,0.029506158083677292,90.68749237060547,0.1711120903491974,0.33280515670776367,0.2021249383687973,200.28994750976562,0.00020000001
24,0.02196604572236538,0.13016150891780853,0.028532149270176888,90.41265106201172,0.1706627905368805,0.332952618598938,0.20280525088310242,201.64414978027344,0.00020000001
25,0.021306367591023445,0.1281866580247879,0.027697982266545296,88.41058349609375,0.17083463072776794,0.33285292983055115,0.20129834115505219,196.81741333007812,0.00020000001
26,0.02086777798831463,0.1269494742155075,0.02711058035492897,86.41439819335938,0.1709306240081787,0.3306496739387512,0.2004575878381729,199.68228149414062,0.00020000001
27,0.020293548703193665,0.12527301907539368,0.026400251314044,85.15845489501953,0.1742263287305832,0.3380432724952698,0.20659907162189484,199.92367553710938,0.00020000001
28,0.019975898787379265,0.12402623146772385,0.025964176282286644,84.56926727294922,0.17485730350017548,0.33436352014541626,0.20467230677604675,203.25050354003906,0.00020000001
29,0.01952185481786728,0.1227835938334465,0.025414254516363144,83.63590240478516,0.17341025173664093,0.3375614881515503,0.20548276603221893,199.29910278320312,0.00020000001
30,0.02078765258193016,0.126905158162117,0.02683914639055729,86.28716278076172,0.17000611126422882,0.3387297987937927,0.20520009100437164,198.43701171875,4.0000003e-05
31,0.020169664174318314,0.12514445185661316,0.026163186877965927,83.65850830078125,0.17086367309093475,0.33947160840034485,0.2066519409418106,199.01611328125,4.0000003e-05
32,0.019633883610367775,0.12341129779815674,0.025483200326561928,83.4944839477539,0.17167514562606812,0.34020161628723145,0.2074403464794159,199.52857971191406,4.0000003e-05
33,0.019372574985027313,0.12234582751989365,0.025158822536468506,83.08233642578125,0.1720646768808365,0.34098389744758606,0.208490252494812,199.99447631835938,4.0000003e-05
34,0.019084028899669647,0.12158045917749405,0.024786783382296562,82.46375274658203,0.17212991416454315,0.34066271781921387,0.2083352506160736,199.6761016845703,4.0000003e-05
35,0.01895015500485897,0.12096559256315231,0.024625372141599655,81.67376708984375,0.172186017036438,0.3408069610595703,0.20852935314178467,199.57818603515625,4.0000003e-05
36,0.018678488209843636,0.12006840109825134,0.024282468482851982,81.71363067626953,0.1725788712501526,0.3418695628643036,0.209520161151886,199.2682647705078,4.0000003e-05
37,0.01844852976500988,0.1194545328617096,0.02398630976676941,81.313720703125,0.17290303111076355,0.3412843346595764,0.2094283550977707,199.98858642578125,4.0000003e-05
38,0.018229104578495026,0.11872900277376175,0.023696213960647583,80.54617309570312,0.17421725392341614,0.34322962164878845,0.21155618131160736,200.12045288085938,4.0000003e-05
39,0.01804971508681774,0.11814068257808685,0.023476406931877136,79.98461151123047,0.17510993778705597,0.34335365891456604,0.21216903626918793,201.09693908691406,4.0000003e-05
40,0.019015802070498466,0.12049862742424011,0.0243351012468338,82.64849090576172,0.17177465558052063,0.3431069850921631,0.21332478523254395,207.4938201904297,8.000001e-06
41,0.01852305233478546,0.11957897990942001,0.0240589901804924,82.13760375976562,0.17191359400749207,0.34339019656181335,0.2135544717311859,207.6798858642578,8.000001e-06
42,0.018443677574396133,0.1194474846124649,0.023979585617780685,82.26622009277344,0.1718439906835556,0.343039333820343,0.21315322816371918,207.67417907714844,8.000001e-06
43,0.018322676420211792,0.11916115880012512,0.023855794221162796,81.34619903564453,0.17180988192558289,0.3429698646068573,0.21300548315048218,207.44480895996094,8.000001e-06
44,0.018190085887908936,0.11862999200820923,0.02366214618086815,80.8322982788086,0.17193599045276642,0.3428114354610443,0.21301749348640442,207.15113830566406,8.000001e-06
45,0.018130168318748474,0.11849016696214676,0.023570585995912552,81.64940643310547,0.17213502526283264,0.34309712052345276,0.2130560427904129,207.1421661376953,8.000001e-06
46,0.01814151182770729,0.11833126097917557,0.023580370470881462,82.43202209472656,0.1720360666513443,0.34310951828956604,0.2131660431623459,207.3761749267578,8.000001e-06
47,0.018081823363900185,0.1182638630270958,0.023540383204817772,81.28010559082031,0.17238742113113403,0.3432013690471649,0.21344421803951263,207.90464782714844,8.000001e-06
48,0.01804478093981743,0.11812040209770203,0.023470718413591385,81.74798583984375,0.17259949445724487,0.343478262424469,0.21368344128131866,207.5360565185547,8.000001e-06
49,0.01797514781355858,0.1180206835269928,0.023399721831083298,81.46134948730469,0.17271126806735992,0.3437025249004364,0.21395814418792725,207.39671325683594,8.000001e-06
