,0.5,0.8,1.0,1.2,1.5,naive,avg
count,184296.0,184296.0,184296.0,184296.0,184296.0,184296.0,184296.0
mean,6.214907608518223,6.182891885202735,5.875194153146401,6.108779952869833,6.230420682135083,5.593432244480063,5.759461610559529
std,5.332827572902263,5.560561100925355,5.290287017072926,5.63965726284148,5.728419899969215,5.849653199675901,5.241485296838493
min,9.176078098886984e-05,5.326202523600917e-05,6.858182457502969e-05,1.2103799928833087e-05,2.5387138726525184e-05,0.0010375688887884,4.639583217727801e-05
25%,2.294645696124705,2.3052090911224115,2.137054943619425,2.1576345991972814,2.1867789280263086,1.5248238349130052,2.0876039184019195
50%,4.966992792378674,4.938076446972515,4.578411408538937,4.7107527322474265,4.805739920038854,3.679549083966263,4.487356973292842
75%,8.746695950232823,8.531104623393365,8.128421548700166,8.330086062942929,8.525038990141212,7.901351996247624,7.958729346860974
max,65.699959755525,81.40373942355777,61.17427349830007,65.00561550637762,63.56591959920793,59.66386949706599,66.00212137926846
