,0.5,0.8,1.0,1.2,1.5,naive,avg
count,184296.0,184296.0,184296.0,184296.0,184296.0,184296.0,184296.0
mean,5.669313351328906,5.608426917506809,5.4556632234458355,5.5237688861307666,5.790690467923648,5.593432244480053,5.263877474655443
std,5.186785419855496,5.2134849262414384,5.311268898174632,5.448145227559556,5.782135660249457,5.849653199675901,5.137092572821026
min,3.708377308287275e-05,3.648362205211021e-05,3.3583138162539854e-05,0.0001222706264446,7.284554038280888e-05,0.0010375688887884,3.811552483530248e-07
25%,2.066052729111134,1.9807432497736759,1.8792066456978702,1.808080577176991,1.8075239663176121,1.5248238349130052,1.761127244847086
50%,4.3582748089409495,4.238906679146629,4.03469554041968,4.036063307210798,4.105988458572163,3.679549083966263,3.8662128393076394
75%,7.74164519037126,7.674000491720214,7.2990145226170995,7.452336427502332,7.849914532946754,7.901351996247624,7.1169749616915965
max,59.94878175600961,60.430825353224506,59.80687739261364,62.9557005151602,63.66509599278503,59.66386949706599,60.87805656233473
