,0.5,0.8,1.0,1.2,1.5,naive,avg
count,184872.0,184872.0,184872.0,184872.0,184872.0,184296.0,184872.0
mean,790.0886474249752,764.2329192720476,728.3030062042927,739.0436915369877,741.5580835784381,674.6749417688774,707.0707148952682
std,737.485579462158,716.3947847759273,675.5208933417488,685.7336213798571,674.0660180894073,717.7531239786383,662.2149899540698
min,0.0103419999995821,0.0058500000013737,0.0076300000000628,0.0014800000008108,0.0036099999997531,0.0937450000001263,0.0043430000005173
25%,262.49716725000053,272.5124160000005,249.82510999999886,260.1214899999991,268.9349474999999,183.90083499999992,247.6373114999992
50%,582.9848000000002,583.6576725000004,545.7410170000003,561.4710150000001,575.9946099999997,445.97010000000046,532.0783499999998
75%,1090.6803724999995,1040.547082499998,995.4163650000006,1002.636105,1010.0851999999995,924.3250400000016,956.8687024999995
max,7804.70969,9664.89098,7263.089980000001,7717.976979999999,7547.044980000002,7083.76296,7836.289980000001
