stat,peak,0.5,0.8,1.0,1.2,1.5,avg,naive
25%,False,1.950358658426044,2.23905031218289,1.845154694155377,1.9865303141589323,2.0695217964536,1.9058786890758015,1.4735034799514946
25%,True,2.485959107198748,2.335330242083013,2.281370376467928,2.233996442761658,2.238624305746243,2.170264160803259,1.540677306791748
50%,False,4.150101931925109,4.625078582980247,3.956731820332319,4.356403016667701,4.502333845211149,4.063385463575382,3.3905161600820146
50%,True,5.359061911837805,5.08500876981113,4.861965819548528,4.876675196463581,4.95718112475915,4.675250958449421,3.839833241873877
75%,False,7.348150951720403,7.692456619945269,6.959134919365118,7.4640798832006094,7.754911629306477,6.943724960583729,6.552245366438782
75%,True,9.402851900197346,8.923249961007297,8.663524870654895,8.753371212545353,8.895841006673871,8.43757518957177,8.735373863893289
count,False,53753.0,53753.0,53753.0,53753.0,53753.0,53753.0,53753.0
count,True,130543.0,130543.0,130543.0,130543.0,130543.0,130543.0,130543.0
max,False,46.19342598282152,43.26703420046931,40.30638795938062,49.49330592122879,42.47819158061196,38.34011739850303,36.32024520665325
max,True,65.699959755525,81.40373942355777,61.17427349830007,65.00561550637762,63.56591959920793,66.00212137926846,59.66386949706599
mean,False,5.125642228621554,5.472739970361732,4.924455394367007,5.360143291989556,5.561241976098301,4.928127463815374,4.647517239156144
mean,True,6.663428647299203,6.475307379549027,6.266674818526152,6.417042107349947,6.50596485520905,6.101775670983593,5.982926658436972
min,False,9.176078098886984e-05,0.0001603214824684,0.000170272214187,1.2103799928833087e-05,2.5387138726525184e-05,0.0001215779454093,0.0010375688887884
min,True,9.970249251312752e-05,5.326202523600917e-05,6.858182457502969e-05,1.4096750509758812e-05,0.0001613980597475,4.639583217727801e-05,0.0010514103680998
std,False,4.1967162199356505,4.330162901283603,4.172101693371008,4.5485795928815485,4.676856203073052,4.046215812911422,4.407985285634828
std,True,5.675165665887158,5.9697433628883045,5.640798436809702,6.004778481499777,6.087703439425234,5.625184003092326,6.3077508359024375
