,0.5,0.8,1.0,1.2,1.5,naive,avg
count,184296.0,184296.0,184296.0,184296.0,184296.0,184296.0,184296.0
mean,5.658487430497912,5.5858886855981424,5.508151649297866,5.575002049822177,5.802429506924189,5.593432244480063,5.044591408474874
std,5.071944813691744,5.280053434082665,5.370787083319115,5.825156493835889,6.04880391228399,5.849653199675901,5.070674590808178
min,8.829612940087528e-06,1.3610469414789009e-06,0.0001025156307161,1.5572963826359736e-05,1.9482888909437927e-05,0.0010375688887884,1.9959691157282598e-06
25%,2.0628884462776598,1.905574912513151,1.7998169425647683,1.7653925962631252,1.8414485688380493,1.5248238349130052,1.6593238207314833
50%,4.394616757444695,4.1403764769412446,3.9883309935825864,3.92799211608952,4.109902515895662,3.679549083966263,3.652657671480347
75%,7.76935185783306,7.669019200747458,7.5316703329865735,7.402882691173199,7.763458199075955,7.901351996247624,6.793657820029259
max,57.76611779331283,60.16157092011425,63.29670727921594,67.01702433944477,65.87152175002049,59.66386949706599,60.75473082220436
