,0.5,0.8,1.0,1.2,1.5,avg,0.5,0.8,1.0,1.2,1.5,avg,0.5,0.8,1.0,1.2,1.5,avg,0.5,0.8,1.0,1.2,1.5,avg,0.5,0.8,1.0,1.2,1.5,avg,0.5,0.8,1.0,1.2,1.5,avg,0.5,0.8,1.0,1.2,1.5,avg,0.5,0.8,1.0,1.2,1.5,avg
,25%,25%,25%,25%,25%,25%,50%,50%,50%,50%,50%,50%,75%,75%,75%,75%,75%,75%,count,count,count,count,count,count,max,max,max,max,max,max,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,std,std,std,std,std,std
hour2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.742346557175181,1.5423865641322996,1.5989681467897743,1.7814809748607046,1.778932037156276,1.4556333113633355,3.609946852321312,3.4771657216474474,3.472406816841526,3.843707758463462,3.8384681231842857,3.211649630553436,6.20874612623056,6.150710776300626,6.239443465346406,6.762228538635876,6.941866043343843,5.5943512300584235,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,30.65207736802076,32.162660126740086,37.29941637493652,24.53511966688194,28.5074642879096,29.119914520164503,4.483499003716186,4.3772431886789445,4.469185667536007,4.68094186034781,4.847068298532685,4.013169857292503,0.0001796943629675,0.0003245477309609,0.0002452381387462,0.0026224802644731,0.0010536085794373,0.0001447974525881,3.7194813125828667,3.758532879774701,3.9077651326956513,3.7553234663768458,3.970069720397187,3.4168466615084676
8,1.5877083031198194,1.4855982434932746,1.5651797323561822,1.520396048950525,1.6651805865760108,1.3000525786783923,3.2544791921526666,3.132408537639455,3.284129869945065,3.371642008302673,3.678604786259344,2.779776872301717,5.589960623726432,5.59253688855716,5.808807357829845,6.042764043591121,6.544239092859408,5.0569720737045625,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,31.0530076481575,32.38319353043602,37.3229040694171,25.896411302575384,32.67398096098258,29.88911131888015,4.107379681362845,4.06968257170014,4.241438461608596,4.3688421657044945,4.686793798441117,3.6770058774091665,0.0006825188336718,1.3610469414789009e-06,0.0005636490756201,0.0005295656604277,0.000716332680306,0.0004438563355012,3.537837427835187,3.590663106257951,3.764109563465695,3.8201987929841144,4.044581474402994,3.355049656587938
9,1.6418587041135269,1.5298401793388257,1.4947821933965233,1.5524789630669695,1.7081500231613902,1.4207432446252777,3.5281471256225445,3.325256100899111,3.331172861597372,3.3822398751506797,3.5886563875770494,2.898254930147092,6.15402840109846,5.910865329977351,6.054921396709778,6.131585962874938,6.331472349657547,5.236829232931832,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,29.090569944552332,31.208297538901924,35.06004553945277,30.37898782960653,35.06967157397254,29.60051995653497,4.420495403043447,4.235804171149411,4.295958181352821,4.441719003398747,4.665379263500167,3.837096451168198,0.0001450891356767,0.004552157704967,0.0025627417031365,0.0016384287179751,6.110679295489903e-05,0.0011607785309746,3.765879007365366,3.7096025942376727,3.8686081242781745,4.013296615746131,4.170433006339494,3.482826565614167
10,1.9479684856903823,1.707690520994347,1.6566142292007777,1.6196628594860907,1.6909023767578508,1.5146822880930024,4.116565768934462,3.7275045236136353,3.597537250119048,3.642739007597532,3.693842253875194,3.359497409730647,7.05909484001384,6.630176679445777,6.695251770392074,6.778388371090397,6.844933878526502,5.914765728754634,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,31.25962940619806,34.722725300966026,37.16006136374226,35.636352937738955,38.22927051104331,34.335007118900855,5.0308144538268955,4.733101817357789,4.730045165310745,4.855948365154485,4.953913318407216,4.31874588460778,0.0002578682274697,0.0001672455264658,0.0001878327079921,0.0001810082368122,0.0004851549126148,0.0002442663043821,4.137473088483336,4.117055957241816,4.2374385727390065,4.493060207105337,4.632746289582732,3.918776384609197
11,2.227159777299258,1.9976154391478649,1.9396192784926685,1.7712302058216318,1.8337451685657382,1.798607917863964,4.676585915588815,4.246550107901967,4.083191733503588,3.965900819087404,4.047046602170366,3.896640263818584,7.859303969585254,7.4410412847738,7.392833503985008,7.676897673247499,7.6894767940105435,6.750346385587755,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,37.85954926204865,40.89309074947813,43.7963924786518,42.32166375418451,42.41013168527075,40.72702065975019,5.684489233511904,5.410055251603987,5.389621001490425,5.490794294506507,5.56703106532463,4.99874926650702,8.829612940087528e-06,0.0005073441743906,0.0005926064868596,0.0010652917489553,0.001420281780611,0.0013062805814364,4.648750584613641,4.730817672731576,4.863573720516308,5.245557125792737,5.413060155972492,4.570415030317828
12,2.5573675548263664,2.2797782446079604,2.109681715350445,1.873808873252038,1.8125736236862282,1.9761475642731265,5.089420737703688,4.693288613221964,4.519275052064742,4.254000097682333,4.313438397252631,4.364148551388102,8.56288797682155,8.265648813134462,8.29531106865569,8.425908670178952,8.53263239894913,7.543375109217727,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,45.5124476888468,48.06125084311165,51.8488763820788,50.05836927337438,50.13090374070046,48.65754882382867,6.297438283484763,6.112606047477643,6.087577104944334,6.178431488096997,6.262239845434542,5.707790249723274,0.0001303468473136,6.539020394140866e-05,0.000978520666786,0.0012751459091207,3.0186749873591585e-05,0.000640021705428,5.3017651359722535,5.504183604595364,5.673333389433206,6.246241240098072,6.510904157540489,5.40619476139885
13,2.8801582124611063,2.587649552701392,2.228378973767877,1.9598933893233388,1.8044105788123508,2.158190486585762,5.430888420233937,5.021651190866301,4.790440646708935,4.384910817102037,4.381734701863856,4.541615690806159,9.003292061483652,8.872196450488914,8.86070015732833,8.74073272249435,8.877159434289045,8.119159922208317,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,52.07155741901016,54.25271094072015,58.464067508598326,56.94963140973597,57.093222372995925,55.43069436923,6.8807214933873,6.715318140451164,6.6142385418095175,6.57953883456708,6.668168939374504,6.190115567932634,0.0020550713305737,0.0006976123771018,0.0019113471142435,0.0002575164778503,0.0005533728276731,0.000500404229139,5.984284591321133,6.247041755809924,6.443744189762437,7.0226590848202495,7.324917797915058,6.158898806987564
14,2.9082134244378546,2.686901907543607,2.300067694265648,2.044792929092298,1.9520993667959603,2.275259620171097,5.728442160478696,5.343216106126102,5.041755339352625,4.506627630795782,4.546013913050803,4.702488871395221,9.529116633954072,9.604837437402264,9.581861825357743,9.165302234300164,9.32656645987989,8.813200927295606,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,55.67157979565482,58.12306292145173,61.78146337401792,62.44187944150487,61.018519266711465,59.03200652795623,7.30248156189779,7.236148003483428,7.0960444993523755,7.027460855644925,7.157375652951621,6.664843748564515,0.0010913984716882,0.0007556318794158,0.0008317358549744,0.0001203774337135,5.940159821444648e-05,0.0011182168012922,6.547397330151782,6.8417004738647575,7.0605417446871,7.731561918334659,8.065068503665726,6.773122412677101
15,3.0137705629902323,2.8878075861859562,2.4677529118845447,2.026313720567688,1.9798335330548824,2.4415352831247388,6.000486972176191,5.75653934213272,5.447626901066791,4.739609883213719,4.857623701031787,5.076469722343257,10.009372632838335,10.163520319896335,10.049244960452146,9.328626631963912,9.652572386077107,9.240410043625381,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,57.76611779331283,60.16157092011425,63.29670727921594,66.35864380342834,64.89928855471521,60.75473082220436,7.623956762555027,7.668865301736434,7.4879291201468545,7.32470132442504,7.515225798858279,7.052081936107882,0.0011046751037007,0.0006970450250775,0.002785096786851,0.0004373816424809,0.0002266970876329,0.0001221038697385,6.833844255429774,7.122560895266657,7.346013975237139,8.14597387768119,8.480255489503365,7.064215354083938
16,3.207708981885175,3.106552755897478,2.6091563638775552,2.044568013826332,2.063133449966439,2.6484919423388753,6.266124405794946,6.028965723337397,5.830140147106095,4.927884156845147,5.034251422201146,5.442688869663199,10.372741505899908,10.65703010373447,10.24565187469015,9.765566929858712,10.170924934205011,9.769820538768506,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,55.7899422453894,58.21227967066341,61.632919344674896,67.01702433944477,65.87152175002049,58.80281744755194,7.8417545864050435,7.899673002640254,7.7077578402252795,7.472412397327273,7.704012783734244,7.294339867196642,0.0011489980048492,0.0029273692692214,0.0001435447824551,0.0039632050760839,0.0006882766490119,0.00023108364973,6.767093033448004,7.103552469500061,7.296287239855773,8.165089190487844,8.519098839647944,6.998210598763336
17,3.02834970519516,2.8184761573389427,2.5516709550789205,2.089879293982282,2.0870832802205683,2.4541919103235754,6.039525354467918,5.81618070951099,5.664004363302084,4.65386631436727,4.904378556949683,5.247009754548788,10.281075578170855,10.356199248203934,9.967841276843794,9.523368238702485,9.919508587372038,9.462886649702606,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,50.62748649729446,53.06217882167454,56.77543001011984,66.3273739454619,65.58805191679168,53.847205004856015,7.637009593951548,7.666421677168584,7.503056036411555,7.2213764038688355,7.487757494960739,7.032401704254573,0.002032861220668,0.0059521245430357,0.0012435395420034,0.0009038030995039,0.0031059743835644,0.0021259101100036,6.583635827824294,6.941134209656364,7.0839532865895425,7.820662012602766,8.164160304238173,6.7752077358205
18,2.598068112859364,2.4471984740700696,2.3616259339548407,1.9427984796816333,2.155703343765969,2.087390800226914,5.524515277195131,5.305793782257558,5.062607768701462,4.683508901755584,4.996594407878918,4.633256843313215,9.706393714075453,10.026049593979717,9.564978831139335,9.274462487331714,9.804618225219233,9.120471300546004,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,44.2753692937462,48.29859977754033,50.39562563589729,63.45471634782858,63.14125153185657,49.43967124247559,7.09929672683746,7.14670666332097,7.06857070826927,6.944202867453265,7.3316968715872886,6.562379873218693,0.0029626259388229,0.0009689276771061,0.0005199002219774,0.0020990052019998,0.0013107448550875,3.4703502945465314e-05,6.235423969400749,6.5988839134311155,6.709129290425962,7.357980068041242,7.651169406622336,6.439891670084439
19,2.3506580176037097,2.123957879237473,2.136429119014804,1.9329706757263307,2.13263246003723,1.8255675326168292,5.007816460527962,4.764140044115154,4.5672881538684695,4.495910422019473,4.706701432610388,4.2977156783807295,8.76438116207504,8.996134583022858,8.69193072524656,8.50936272345443,9.09871407893938,8.064933138500876,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,40.89165404580417,44.69815384003613,46.66136227494764,56.322440156568646,57.455756194150034,44.455200496582,6.385844960510698,6.409934278453543,6.324856529248296,6.339155580946561,6.736746616437422,5.831704054387581,0.0012421366550493,0.0002320468849106,0.0001025156307161,0.0008768481636566,0.0002600859199882,0.0009765814783842,5.560941468685811,5.88075550459931,5.95461922444853,6.537851688432012,6.8368055603223485,5.68429884272898
20,2.317251297988291,2.036560117845866,1.8967498099541682,1.5414077401674864,1.6462308755393238,1.6471498650523628,4.955430873903308,4.407116936730198,4.109887474514476,3.745378858018432,3.801380876615753,3.626802587677197,8.40921380740108,8.376928926656618,7.906438651619088,7.230478870217406,7.840491867893087,6.9599170017040635,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,36.76602023262959,39.34281268224357,41.01326365268969,53.97839759491722,54.68469984612852,40.663490858211645,6.031279829015082,5.881842500956569,5.621362409035631,5.358324384212077,5.620601618850502,5.0507397161311935,0.000603699502879,0.001127424650524,0.0012578180072364,0.0004213632383824,0.0002400820099932,0.0019048383113138,4.9468004548869615,5.186147084129684,5.174410636031623,5.728903123560808,5.997173128315664,4.894393040831492
21,2.3611582539253115,2.1015366011058263,1.840081140140724,1.5083930196092736,1.5150329519883412,1.6906102943601167,4.949890756269846,4.473401508953849,4.105522418187059,3.519704471976369,3.594356175623149,3.605966827180192,8.317201353175506,8.152501346738642,7.580318922656488,6.7523872337924065,7.106690234722357,6.63566154925588,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,35.978160208690795,36.127672291218296,35.65092442775298,53.745272056097605,54.20455256338005,39.23456576481586,5.914678392895314,5.731765287678806,5.3778553133740035,5.006180990115258,5.205306625578174,4.798440929478038,0.0007368513877967,9.734781367140466e-05,0.0009124648986424,0.000133425269678,5.174542209038328e-05,6.856787520227725e-06,4.664256835642229,4.842320448614144,4.760397944628562,5.324885440842505,5.547263453793339,4.451776625075126
22,2.089592765053282,1.8884333111570326,1.735334860791217,1.5568031661207757,1.6891298152652674,1.4849248454277086,4.376410025505672,4.194106276211578,3.829085057218194,3.52067147365399,3.7251713492797456,3.3503809883194458,7.8473754894008305,7.733073760322634,7.230934240591093,6.895686439345514,7.3567994872170335,6.345663806370841,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,37.30645382441096,36.996943801593936,31.723947415649416,55.743348024264,56.07029946435822,40.11826937174974,5.487872851563084,5.446098588397395,5.163566928726374,5.084790526929035,5.373834342386666,4.581699007270839,0.0006455563775275,0.0036803443519075,0.0005234165857151,0.0001887416576096,0.0009658769714595,0.0005217960181634,4.486151998692251,4.733371827451195,4.670759468974317,5.3607789104718035,5.574033172817033,4.400202856861845
23,1.8215600331113262,1.7581623512539013,1.684235539367875,1.7869073506593804,2.0153233347670407,1.4423368019099896,3.808476950920102,3.8835026316006833,3.780386462335545,4.020132053407028,4.448038812007132,3.3215388805105133,7.345357572382413,7.561745726860309,7.2091020511250345,7.616919468730756,8.141920234222699,6.4129807284153895,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,38.10125395155967,38.1225975020516,34.36275735632792,56.869680258538565,57.1376714227512,40.837271004320144,5.1288711560916695,5.314702676797295,5.173534663557583,5.543822834128854,5.927944413053084,4.656403138997279,0.0015357747959927,0.0004456159916076,0.0029187336163987,0.0005719437225189,1.9482888909437927e-05,0.0008282161610277,4.470805854981593,4.785242014391787,4.778708862731698,5.526301769094598,5.722054494879185,4.543886614271216
